Movie Name,Date,Picked By,Phill Score,Jim Score,Jon Score ,Avg Rating,Release Year,1333,@,TMDB_ID,Overview,Genres,Release Date,Vote Average,Vote Count,TMDb Link
Ritual,1/18/2021,jim,7.0,8.0,5.0,7,2017.0,,,143146,"A long time ago Tom loved Lovely. They were married and everything was perfect, at least for a little while. But that was then and this is now. Lovely has just killed a man in cold blood after he tried to drug and kidnap her in a motel. She calls Tom to help but now they've found a VHS tape that depicts a satanic ritual in which a woman is murdered. Lovely desperately wants to leave and they do, but Tom forgot his engraved lighter in the room, and when they go back to find it, the dead body appears missing.",Horror,2013-12-31,5.1,12,https://www.themoviedb.org/movie/143146
The Visit,1/25/2021,jon,6.0,7.0,8.0,7,2015.0,,,298312,"A brother and sister are sent to their grandparents' remote Pennsylvania farm for a week, where they discover that the elderly couple is involved in something deeply disturbing.","Horror, Mystery, Thriller",2015-09-10,6.32,4569,https://www.themoviedb.org/movie/298312
Electric Dreams,2/1/2021,phill,5.0,1.0,1.0,2,1984.0,,,19596,"Miles buys himself a state-of-the-art computer that starts expressing thoughts and emotions after having champagne spilled on it. Things start getting out of hand when both Miles and Edgar, the computer, fall in love with Madeline, an attractive neighbor.","Comedy, Science Fiction, Music",1984-07-20,6.22,157,https://www.themoviedb.org/movie/19596
Drawing Flies,2/8/2021,jim,3.0,4.0,2.0,3,1996.0,,,24063,"Donner and his roomates are out of money and about to get evicted from their home. So as a diversion from their situation, he invites them to his father's cabin in the Canadian wilderness. They all go along, but soon learn that there's no cabin - he's really trying to find Sasquatch.","Comedy, Drama, Thriller",1996-06-12,4.6,18,https://www.themoviedb.org/movie/24063
Bullit County,2/15/2021,jon,7.0,6.0,4.0,6,2018.0,,,,,,,,,
Diggs Town,2/22/2021,phill,8.0,8.0,8.0,8,1992.0,,,,,,,,,
Long Kiss Goodnight,3/1/2021,jim,7.0,9.0,8.0,8,1996.0,,,11412,"Samantha Caine, suburban homemaker, is the ideal mom to her 8 year old daughter Caitlin. She lives in Honesdale, PA, is a school teacher and makes the best Rice Krispie treats in town. But when she receives a bump on her head, she begins to remember small parts of her previous life as a lethal, top-secret agent.","Crime, Action, Mystery, Thriller",1996-10-11,6.623,1137,https://www.themoviedb.org/movie/11412
The Cleanse,3/8/2021,jon,6.0,7.0,7.0,7,2016.0,,,298096,"The story of a heartbroken man who attends a spiritual retreat, only to discover that the course releases more than everyday toxins and traumatic experiences.","Drama, Comedy, Fantasy, Horror",2018-05-04,5.0,89,https://www.themoviedb.org/movie/298096
Starter for 10,3/15/2021,phill,6.0,7.0,6.0,6,2006.0,,,14055,"In 1985, against the backdrop of Thatcherism, Brian Jackson enrolls in the University of Bristol, a scholarship boy from seaside Essex with a love of knowledge for its own sake and a childhood spent watching University Challenge, a college quiz show. At Bristol he tries out for the Challenge team and falls under the spell of Alice, a lovely blond with an extensive sexual past.","Drama, Comedy, Romance",2006-09-13,6.4,382,https://www.themoviedb.org/movie/14055
Quick Change,3/22/2021,jim,8.0,10.0,8.0,9,1990.0,,,10729,"With the aid of his girlfriend, Phyllis Potter, and best friend, Loomis, Grimm enters a Manhattan bank dressed as a clown, creates a hostage situation and executes a flawless robbery. The only thing left for the trio to do is make their getaway out of the city and to the airport. It sounds simple enough, but it seems that fate deserts them immediately after the bank heist. One mishap after another conspires to keep these robbers from reaching freedom.","Comedy, Crime",1990-07-13,6.665,340,https://www.themoviedb.org/movie/10729
Stardust,3/29/2021,jon,8.0,7.0,9.0,8,2007.0,,,2270,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.","Adventure, Fantasy, Romance, Family",2007-08-09,7.279,3928,https://www.themoviedb.org/movie/2270
Jumper,4/5/2021,phill,7.0,7.0,8.0,7,2008.0,,,8247,"David Rice is a man who knows no boundaries, a Jumper, born with the uncanny ability to teleport instantly to anywhere on Earth. When he discovers others like himself, David is thrust into a dangerous and bloodthirsty war while being hunted by a sinister and determined group of zealots who have sworn to destroy all Jumpers. Now, David’s extraordinary gift may be his only hope for survival!","Action, Adventure, Science Fiction",2008-02-13,6.147,5599,https://www.themoviedb.org/movie/8247
Reposessed,4/12/2021,jim,6.0,8.0,7.0,7,1990.0,,,,,,,,,
Willy's Wonderland,2/24/1901,jon,7.0,10.0,9.0,9,2021.0,,,643586,"When his car breaks down, a quiet loner agrees to clean an abandoned family fun center in exchange for repairs. He soon finds himself waging war against possessed animatronic mascots while trapped inside Willy's Wonderland.","Action, Horror, Comedy",2021-02-12,6.0,927,https://www.themoviedb.org/movie/643586
How I Got Into College,4/26/2021,phill,7.0,4.0,3.0,5,1989.0,,,27307,"The simple story of two young Michigan high school students, Jessica, Class President, Local Smart Girl, and object of Marlon's affections attempt to get into a small Pennsylvania college. Jessica fights off her parent's expectation of going to their alma mater of the University of Michigan, while Marlon fights his grades and SAT scores.","Comedy, Romance, Family",1989-05-19,6.039,38,https://www.themoviedb.org/movie/27307
Shrunken Heads,5/3/2021,jim,6.0,5.0,3.0,5,1994.0,,,79975,Three teens killed by a local crime boss return for revenge after a witch doctor revives them through voodoo magic.,"Thriller, Comedy, Horror",1994-05-01,4.8,25,https://www.themoviedb.org/movie/79975
